DATE,PREC,SPEC_HUM,REL_HUM,SURF_PRESS,T2MDEW,T2M_MAX,T2M_MIN,T2M,WS10M,WS50M
7/6/00,0.04,5.87,32.55,97.83,5.6,31.86,14.8,23.09,2.87,3.81
7/7/00,0.14,5.76,32.08,97.89,5.2,32.65,13.72,23.03,2.81,3.69
7/8/00,0.05,5.88,33.15,97.99,5.59,32.32,13.39,22.85,2.35,3.22
7/9/00,0,5.74,29.14,97.8,5.16,34.29,15.05,24.55,2.48,3.36
7/10/00,0,6.33,30.54,97.79,6.69,35.21,15.73,25.4,2.79,3.75
7/11/00,0.13,6.69,29.34,97.85,7.42,37.84,17.16,27.04,3,3.79
7/12/00,0.05,6.86,31.85,98.1,7.7,37.56,16.6,26.09,2.96,3.67
7/13/00,0.08,5.97,27.97,98.27,5.74,36.65,15.43,25.97,2.44,3.21
7/14/00,0,5.73,24.54,98.24,5.29,37.83,17.91,27.52,2.44,3.42
7/15/00,0,5.7,24.79,98.1,5.15,37.57,18.65,27.23,3.06,3.98
7/16/00,0.05,6.97,33.85,97.99,8.17,34.41,18.21,25.31,2.66,3.46
7/17/00,0.07,6.09,29.79,98.23,5.94,34.93,16.02,25.25,2.97,3.89
7/18/00,0,4.8,21.33,98.31,2.77,36.86,17.68,26.91,2.72,3.73
7/19/00,0,3.55,14.5,98.07,-1.38,39.09,18.21,28.3,2.98,4.22
7/20/00,0,3.54,14.57,97.81,-1.4,37.9,17.94,28.13,1.93,2.43
7/21/00,0,3.71,14.54,97.76,-0.77,39.07,19.9,28.95,2.41,3.38
7/22/00,0,4.63,19.85,97.98,2.07,37.48,17.9,27.47,2.4,3.37
7/23/00,0,4.26,16.4,98.1,1.18,38.41,21.02,29.32,2.2,3.02
7/24/00,0,4.72,16.32,97.94,2.65,41.74,21.42,31.17,2.94,4.17
7/25/00,0,4.72,18.02,97.7,2.54,39.01,20.81,29.4,2.49,3.48
7/26/00,0,4.48,18.12,97.73,1.87,37.76,20.09,28.42,3.04,4.31
7/27/00,0,4.54,20.72,97.92,2.02,36.45,16.86,26.39,2.24,3.03
7/28/00,0,4.31,17.23,97.93,1.38,38.26,18.98,28.64,1.66,2.23
7/29/00,0,5.17,18.97,97.75,3.88,40.1,20.05,30.1,2.12,2.87
7/30/00,0.04,5.64,19.1,97.65,5.14,41.1,21.97,31.47,2.35,3.2
7/31/00,0.15,6.78,21.95,97.64,7.78,41.66,22.7,32.28,2,2.62
8/1/00,0.05,7.09,20.19,97.7,8.34,44.58,26.05,34.57,2.63,3.54
8/2/00,0.49,7.74,23.66,97.64,9.53,43.28,24.36,33.29,2.51,3.31
8/3/00,0.09,9.19,29.71,97.69,12.31,41.25,25,32.28,3.12,3.7
8/4/00,0.01,8.74,30.29,97.92,11.52,40.51,22.5,31.1,2.26,2.95
8/5/00,0,7.3,25.82,97.92,8.55,40.33,22.53,30.75,3.27,4.73
8/6/00,0.23,5.52,20.45,97.68,4.72,39.77,21.16,29.93,2.98,4.21
8/7/00,0,6.68,27.98,97.74,7.59,36.38,19.99,27.81,2.39,3.36
8/8/00,0,6.93,29.54,97.92,8.14,36.68,19.32,27.54,2.04,2.9
8/9/00,0.01,5.59,23.88,97.94,4.68,37.69,18.52,27.52,1.67,2.22
8/10/00,0,4.86,22.47,98,2.71,35.23,17.7,26.18,2.26,3.02
8/11/00,0,4.21,17.71,97.9,0.75,37.66,17.77,27.77,1.83,2.26
8/12/00,0,3.35,12.56,97.78,-2.25,40.15,19.56,29.74,2.09,2.83
8/13/00,0,2.88,11.34,97.67,-4.12,39.43,19.62,28.91,2.55,3.48
8/14/00,0,2.86,10.89,97.66,-4.21,39.53,18.99,29.45,1.79,2.28
8/15/00,0,3.07,11.26,98,-3.09,40.51,20.07,30.18,1.98,2.67
8/16/00,0,3.53,12.33,97.99,-1.26,41.69,21.29,31.03,2.28,3.14
8/17/00,0,3.43,12.06,97.87,-1.8,41.12,22.85,30.9,2.26,3.26
8/18/00,0,3.54,14.83,97.98,-1.67,38.04,19.28,27.85,2.34,3.27
8/19/00,0,3.87,18.85,98.16,-0.25,35.14,16.5,25.35,2.39,3.48
8/20/00,0,4.29,22.2,98.12,1.01,33.78,15.65,24.3,2.23,3
8/21/00,0,4.2,20.13,97.76,0.86,35.3,16.37,25.52,1.88,2.43
8/22/00,0,5.58,25.36,97.72,4.75,37.75,16.33,26.4,2.46,3.23
8/23/00,0,6.17,27.41,98.02,6.23,37.79,17.06,26.83,2.06,2.89
8/24/00,0.09,5.71,24.21,98.19,5.19,38.32,17.77,27.68,2.17,3.03
8/25/00,0,6.02,23.86,98.04,6.07,37.26,20.53,28.8,2.15,3.04
8/26/00,0,6.77,27.17,97.72,7.79,36.22,20.67,28.52,1.98,2.9
8/27/00,0.01,6.92,28.62,97.5,8.05,36.63,20.02,27.96,1.81,2.55
8/28/00,0.46,7.68,34.27,97.7,9.59,34.54,20.24,26.69,2.4,3.07
8/29/00,0.58,9.51,54.63,97.9,12.88,27.65,19.02,22.48,1.99,2.68
8/30/00,0.01,8.73,46.71,97.86,11.59,31.91,16.49,23.65,3.01,3.85
8/31/00,0.26,8.49,48.79,97.85,11.14,29.5,16.3,22.48,3.54,4.43
9/1/00,0.61,8.15,52.53,97.99,10.51,26.5,16.44,20.64,3.56,4.49
9/2/00,0.23,8,51.73,98.14,10.19,27.49,14.66,20.6,2.72,3.82
9/3/00,0,6.31,39.34,98,6.77,28.96,14.53,21.19,2.6,3.8
9/4/00,0,5.46,35.53,98.08,4.6,29.14,13,20.52,3.22,4.65
9/5/00,0,3.93,26.32,98.12,-0.39,29.45,12,20.09,2.66,3.78
9/6/00,0,3.12,17.17,97.96,-3.19,34.75,12.14,23.26,1.52,2.28
9/7/00,0,2.96,13.33,97.62,-3.69,37.62,16.97,26.59,1.54,2.35
9/8/00,0,3.7,16.98,97.41,-0.94,36.18,17.81,26.2,2.15,3.11
9/9/00,0,4.01,19.95,97.46,0.19,34.65,15.94,24.85,2,2.71
9/10/00,0,4.34,21.89,97.74,1.16,35.47,15.7,24.68,1.64,2.2
9/11/00,0.01,3.54,15.34,97.87,-1.55,38.18,18.8,27.28,1.62,2.27
9/12/00,0.03,5.14,22.12,97.88,3.12,36.24,20.34,27.38,2.12,2.8
9/13/00,0,6.39,22.05,97.49,6.62,41.83,23.1,31.11,2.24,3.44
9/14/00,0.06,9.83,41.39,97.96,13.3,36.08,20.42,27.72,2.95,3.97
9/15/00,0,8.51,41.31,98.03,11.19,33.91,18.53,25.32,2.73,4.01
9/16/00,0,7.42,34.67,97.78,8.91,35.99,17.14,25.92,1.96,2.72
9/17/00,0,5.44,21.77,97.63,4.28,39.4,19.34,28.57,1.76,2.31
9/18/00,0,3.97,14.55,97.68,0.18,41.05,21.18,30.13,2.2,3.14
9/19/00,0.01,4.79,18,97.45,2.78,40.04,20.67,29.64,1.82,2.41
9/20/00,0,6.36,24.08,97.09,6.57,40.15,20.87,29.44,2.33,3.28
9/21/00,0.01,8.25,43.39,97.04,10.42,32.46,17.54,23.81,2.31,2.97
9/22/00,0.09,8.53,54.65,97.17,11.11,26.66,15.93,20.59,2.5,3.17
9/23/00,0.03,7.73,47.87,97.85,9.63,27.49,16.03,21.25,2.27,2.74
9/24/00,0,3.78,20.98,98.18,-1.54,33.2,14.54,23.17,1.28,1.97
9/25/00,0,3.45,17.55,98.05,-2.84,34.81,16.92,24.59,1.58,2.36
9/26/00,0,5.82,30.59,97.97,4.95,34.11,15.72,24.01,1.81,2.6
9/27/00,0,6.62,35.86,98.16,7.33,32.17,17.4,23.52,2.4,3.42
9/28/00,0,7.32,47.4,98.16,8.98,28.12,14.47,20.6,2.88,4.03
9/29/00,0.01,6.42,39.94,97.82,6.96,30.64,13.03,21.19,2.25,3.09
9/30/00,0,5.22,25.06,97.52,3.86,36.45,16.04,25.44,1.38,1.96
10/1/00,0.01,5.24,24.51,97.66,3.81,35.93,17.88,25.91,1.9,2.64
10/2/00,0,6.94,35.95,97.78,7.96,34.03,16.65,24.21,2.15,3.05
10/3/00,0,6.53,37.74,97.68,6.97,31.94,15.32,22.37,1.66,2.27
10/4/00,0,6.67,42.84,97.67,7.44,28.83,13.43,20.64,1.74,2.43
10/5/00,0.04,7.19,39.83,97.7,8.65,32.65,15.15,23.07,1.85,2.81
10/6/00,0,6.47,34.19,97.64,6.95,33.57,16.64,23.84,2.12,3.03
10/7/00,0.01,7.39,47.15,97.89,8.99,29.03,14.14,20.79,2.67,3.77
10/8/00,0.14,7.43,48.02,97.98,9.09,28.75,13.34,20.58,1.65,2.31
10/9/00,4.44,6.95,45.6,97.74,7.96,28.07,14.53,20.3,2.46,3.32
10/10/00,8.84,7.37,74.57,97.55,8.93,16.47,10.6,13.45,3.75,5.57
10/11/00,2.02,6.83,67.93,97.94,7.91,18.98,9.51,13.77,1.95,2.82
10/12/00,0.66,6.71,66.82,98.5,7.74,19.57,9.91,13.85,1.89,2.6
10/13/00,0,5.89,54.84,98.67,5.87,22.76,8.44,14.91,2.32,3.1
10/14/00,0.02,5.97,48.92,98.29,5.97,25.52,9.49,16.86,1.54,2.07
10/15/00,0.09,6.73,56.8,98.17,7.71,22.57,11.42,16.36,1.38,1.83
10/16/00,0,6,44.4,98.3,5.9,27.91,11.37,18.47,1.52,2.13
10/17/00,0.08,4.8,29.93,98.2,2.66,31.25,14.17,21.24,1.56,2.51
10/18/00,0,5.83,40.63,98.22,5.58,27.76,13.92,19.43,1.57,2.24
10/19/00,0,6.66,52.07,98.22,7.53,25.44,10.99,17.58,1.71,2.34
10/20/00,0,6.73,50.19,97.98,7.65,26.97,12.77,18.3,2.1,2.92
10/21/00,0.26,6.29,56.52,97.55,6.25,21.85,11.22,15.29,3.6,5.25
10/22/00,0.01,3.52,30.79,97.57,-1.53,24.24,8.78,15.75,1.34,1.92
10/23/00,0.16,5.16,39.02,98,3.86,26.01,11.39,18.1,1.52,2.12
10/24/00,0.01,5.75,43.58,98.44,5.41,25.57,12.25,18.12,1.57,2.19
10/25/00,1.09,7.11,59.41,98.17,8.48,23.1,12.3,16.51,1.82,2.52
10/26/00,3.23,7.35,74.41,97.57,8.94,17.15,9.73,13.43,2.69,3.93
10/27/00,1.33,7.02,66.79,97.62,8.29,19.36,11.15,14.41,1.55,1.98
10/28/00,0.56,6.82,67.69,98.21,7.93,20.8,8.32,13.85,1.78,2.62
10/29/00,10.79,7.12,77.53,98.18,8.56,15.71,8.05,12.42,2.56,3.82
10/30/00,0.84,5.73,71.98,98.27,5.42,16.07,6.04,10.29,2.34,3.3
10/31/00,0.01,5.14,59.95,98.58,3.74,17.81,6.74,11.46,1.91,2.53
11/1/00,0.01,4.23,47.12,98.65,1.1,19.42,6.09,12.18,1.44,1.87
